,Growth,Low Risk,Low Size,Momentum,Value,Quality Income
2019-03-04,3056.5103641942333,2546.7549448398095,4259.710369444226,6882.654047940425,5042.4315410317395,2757.759898425543
2019-03-05,3053.937794345871,2544.7762642921725,4241.260896047946,6878.285125406458,5012.153251486616,2756.142484139337
2019-03-06,3030.8812233915583,2528.1725041194,4181.437515427381,6814.124608233022,4946.2523464021115,2750.8984942729644
2019-03-07,3009.9028004330207,2516.0097954363323,4129.56743107198,6770.112623671214,4894.212632041354,2745.524273227341
2019-03-08,2995.9998842832492,2509.470572335276,4111.313976109975,6742.450257113269,4876.351688479659,2742.1101122539594
2019-03-11,3036.0005885300366,2539.158944036826,4167.020315059813,6820.34827029079,4950.383781935587,2779.4993176210205
2019-03-12,3046.412755443966,2547.0128519388063,4179.423849999666,6848.521179030202,4966.367543087545,2787.3090085765134
2019-03-13,3063.8872483858327,2560.033914311634,4201.870071829824,6881.935065252351,4991.111187683098,2799.4224156316986
2019-03-14,3064.7399547486507,2559.2191029340574,4177.74519666055,6877.665276292595,4978.404544375999,2791.757707892039
2019-03-15,3073.701455819997,2569.989833671025,4184.829795091295,6898.59947956427,5006.265760859248,2808.409168046935
2019-03-18,3082.4773698265194,2573.934684393771,4217.553693976801,6922.404784863021,5034.549947345826,2823.096979513777
2019-03-19,3079.5072478033508,2569.643420240748,4201.919024778525,6910.118771786789,5019.899570770971,2813.7484817485056
2019-03-20,3065.742341477387,2560.5159164125334,4151.3009791943305,6875.854337406458,4952.805359022667,2809.9732913222206
2019-03-21,3104.609627686895,2585.9773946710197,4202.9165820354565,6960.992555292483,5023.909415219678,2843.1695359348405
2019-03-22,3041.6283037397643,2551.274803400109,4082.0146258595732,6831.848740640021,4890.203905737818,2816.3551745887958
2019-03-25,3044.7341742081553,2555.5678148707825,4077.6405662381385,6842.295673974642,4873.188377956008,2817.9352731886875
2019-03-26,3061.852126008052,2575.612010871263,4121.396157907873,6895.869950335577,4924.812871378898,2836.7181698179456
